hugo_symbol	ensembl_gene_id	canonical_transcript
ADAM28	ENSG00000042980	ENST00000265769
ADAM30	ENSG00000134249	ENST00000369400
ADAM32	ENSG00000197140	ENST00000379907
ADAM33	ENSG00000149451	ENST00000356518
ADAM7	ENSG00000069206	ENST00000175238
ADAM8	ENSG00000151651	ENST00000445355
ADAM9	ENSG00000168615	ENST00000487273
ADAMDEC1	ENSG00000134028	ENST00000256412
ADAMTS1	ENSG00000154734	ENST00000284984
ADAMTS10	ENSG00000142303	ENST00000270328
ADAMTS12	ENSG00000151388	ENST00000504830
ADAMTS13	ENSG00000160323	ENST00000371929
ADAMTS14	ENSG00000138316	ENST00000373208
ADAMTS15	ENSG00000166106	ENST00000299164
ADAMTS16	ENSG00000145536	ENST00000274181
ADAMTS17	ENSG00000140470	ENST00000268070
ADAMTS18	ENSG00000140873	ENST00000282849
ADAMTS19	ENSG00000145808	ENST00000274487
ADAMTS2	ENSG00000087116	ENST00000251582
ADAMTS20	ENSG00000173157	ENST00000389420
ADAMTS3	ENSG00000156140	ENST00000286657
ADAMTS4	ENSG00000158859	ENST00000367996
ADAMTS5	ENSG00000154736	ENST00000284987
ADAMTS6	ENSG00000049192	ENST00000381055
ADAMTS7	ENSG00000136378	ENST00000388820
ADAMTS8	ENSG00000134917	ENST00000257359
ADAMTS9	ENSG00000163638	ENST00000498707
ADAMTSL1	ENSG00000178031	ENST00000380548
ADAMTSL2	ENSG00000197859	ENST00000354484
ADAMTSL3	ENSG00000156218	ENST00000286744
ADAMTSL4	ENSG00000143382	ENST00000369039
ADAMTSL5	ENSG00000185761	ENST00000330475
ADAP1	ENSG00000105963	ENST00000539900
ADAP2	ENSG00000184060	ENST00000330889
ADAR	ENSG00000160710	ENST00000368474
ADARB1	ENSG00000197381	ENST00000360697
ADARB2	ENSG00000185736	ENST00000381312
ADAT1	ENSG00000065457	ENST00000307921
ADAT2	ENSG00000189007	ENST00000237283
ADAT3	ENSG00000213638	ENST00000329478
ADC	ENSG00000142920	ENST00000373441
ADCK1	ENSG00000063761	ENST00000238561
ADCK2	ENSG00000133597	ENST00000072869
ADCK3	ENSG00000163050	ENST00000366779
ADCK4	ENSG00000123815	ENST00000324464
ADCK5	ENSG00000173137	ENST00000308860
ADCY1	ENSG00000164742	ENST00000297323
ADCY10	ENSG00000143199	ENST00000367851
ADCY2	ENSG00000078295	ENST00000338316
ADCY3	ENSG00000138031	ENST00000260600
ADCY4	ENSG00000129467	ENST00000310677
ADCY5	ENSG00000173175	ENST00000462833
ADCY6	ENSG00000174233	ENST00000307885
ADCY7	ENSG00000121281	ENST00000394697
ADCY8	ENSG00000155897	ENST00000286355
ADCY9	ENSG00000162104	ENST00000294016
ADCYAP1	ENSG00000141433	ENST00000579794
ADD1	ENSG00000087274	ENST00000264758
ADD2	ENSG00000075340	ENST00000264436
ADD3	ENSG00000148700	ENST00000356080
ADGB	ENSG00000118492	ENST00000397944
ADH1A	ENSG00000187758	ENST00000209668
